,State,Region,County,Food insecurity,Limited access to healthy foods,Adult obesity
0,AK,West,Aleutians West Census Area,0.17,0.075,0.3
1,AK,West,Aleutians West Census Area,0.173,0.075,0.329
2,AK,West,Anchorage Borough,0.126,0.046,0.257
3,AK,West,Anchorage Borough,0.125,0.046,0.268
4,AK,West,Bethel Census Area,0.199,0.386,0.315
5,AK,West,Bethel Census Area,0.2,0.386,0.324
6,AK,West,Dillingham Census Area,0.179,0.165,0.318
7,AK,West,Dillingham Census Area,0.167,0.165,0.316
8,AK,West,Fairbanks North Star Borough,0.131,0.1,0.291
9,AK,West,Fairbanks North Star Borough,0.131,0.1,0.285
10,AK,West,Haines Borough,0.124,0.049,0.296
11,AK,West,Haines Borough,0.134,0.049,0.284
12,AK,West,Juneau Borough,0.11,0.061,0.26
13,AK,West,Juneau Borough,0.114,0.061,0.269
14,AK,West,Kenai Peninsula Borough,0.132,0.059,0.275
15,AK,West,Kenai Peninsula Borough,0.129,0.059,0.275
16,AK,West,Ketchikan Gateway Borough,0.138,0.009,0.292
17,AK,West,Ketchikan Gateway Borough,0.141,0.009,0.28
18,AK,West,Kodiak Island Borough,0.142,0.037,0.301
19,AK,West,Kodiak Island Borough,0.137,0.037,0.315
20,AK,West,Lake and Peninsula Borough,0.161,0.459,0.315
21,AK,West,Lake and Peninsula Borough,0.169,0.459,0.326
22,AK,West,Matanuska-Susitna Borough,0.124,0.058,0.298
23,AK,West,Matanuska-Susitna Borough,0.123,0.058,0.298
24,AK,West,Nome Census Area,0.209,0.36,0.356
25,AK,West,Nome Census Area,0.203,0.36,0.341
26,AK,West,North Slope Borough,0.142,0.038,0.356
27,AK,West,North Slope Borough,0.148,0.038,0.342
28,AK,West,Northwest Arctic Borough,0.209,0.323,0.297
29,AK,West,Northwest Arctic Borough,0.203,0.323,0.297
30,AK,West,Prince of Wales-Outer Ketchikan Census Area,0.187,0.078,0.337
31,AK,West,Prince of Wales-Outer Ketchikan Census Area,0.174,0.078,0.355
32,AK,West,Sitka Borough,0.128,0.059,0.282
33,AK,West,Sitka Borough,0.129,0.059,0.288
34,AK,West,Skagway-Hoonah-Angoon Census Area,0.192,0.222,0.302
35,AK,West,Skagway-Hoonah-Angoon Census Area,0.174,0.222,0.309
36,AK,West,Southeast Fairbanks Census Area,0.156,0.092,0.317
37,AK,West,Southeast Fairbanks Census Area,0.154,0.092,0.325
38,AK,West,Valdez-Cordova Census Area,0.123,0.109,0.283
39,AK,West,Valdez-Cordova Census Area,0.123,0.109,0.297
40,AK,West,Wade Hampton Census Area,0.254,0.441,0.276
41,AK,West,Wade Hampton Census Area,0.246,0.441,0.346
42,AK,West,Wrangell-Petersburg Census Area,0.133,0.018,0.309
43,AK,West,Wrangell-Petersburg Census Area,0.142,0.018,0.301
44,AK,West,Yukon-Koyukuk Census Area,0.206,0.501,0.29
45,AK,West,Yukon-Koyukuk Census Area,0.197,0.501,0.263
46,AL,South,Autauga County,0.136,0.098,0.305
47,AL,South,Autauga County,0.135,0.098,0.313
48,AL,South,Baldwin County,0.131,0.055,0.266
49,AL,South,Baldwin County,0.135,0.055,0.25
50,AL,South,Barbour County,0.23,0.114,0.373
51,AL,South,Barbour County,0.227,0.114,0.384
52,AL,South,Bibb County,0.158,0.021,0.343
53,AL,South,Bibb County,0.154,0.021,0.373
54,AL,South,Blount County,0.121,0.011,0.304
55,AL,South,Blount County,0.118,0.011,0.309
56,AL,South,Bullock County,0.27,0.202,0.421
57,AL,South,Bullock County,0.241,0.202,0.432
58,AL,South,Butler County,0.227,0.028,0.383
59,AL,South,Butler County,0.221,0.028,0.384
60,AL,South,Calhoun County,0.175,0.1,0.332
61,AL,South,Calhoun County,0.172,0.1,0.315
62,AL,South,Chambers County,0.21,0.088,0.354
63,AL,South,Chambers County,0.205,0.088,0.397
64,AL,South,Cherokee County,0.15,0.001,0.314
65,AL,South,Cherokee County,0.148,0.001,0.303
66,AL,South,Chilton County,0.145,0.017,0.383
67,AL,South,Chilton County,0.142,0.017,0.37
68,AL,South,Choctaw County,0.199,0.116,0.389
69,AL,South,Choctaw County,0.185,0.116,0.402
70,AL,South,Clarke County,0.244,0.112,0.36
71,AL,South,Clarke County,0.223,0.112,0.352
72,AL,South,Clay County,0.176,0.019,0.353
73,AL,South,Clay County,0.169,0.019,0.374
74,AL,South,Cleburne County,0.134,0.005,0.313
75,AL,South,Cleburne County,0.138,0.005,0.304
76,AL,South,Coffee County,0.151,0.074,0.299
77,AL,South,Coffee County,0.15,0.074,0.285
78,AL,South,Colbert County,0.158,0.051,0.322
79,AL,South,Colbert County,0.156,0.051,0.339
80,AL,South,Conecuh County,0.244,0.148,0.363
81,AL,South,Conecuh County,0.228,0.148,0.391
82,AL,South,Coosa County,0.178,0.065,0.343
83,AL,South,Coosa County,0.169,0.065,0.372
84,AL,South,Covington County,0.163,0.03,0.338
85,AL,South,Covington County,0.16,0.03,0.323
86,AL,South,Crenshaw County,0.168,0.158,0.357
87,AL,South,Crenshaw County,0.167,0.158,0.371
88,AL,South,Cullman County,0.134,0.032,0.324
89,AL,South,Cullman County,0.137,0.032,0.344
90,AL,South,Dale County,0.166,0.103,0.353
91,AL,South,Dale County,0.167,0.103,0.344
92,AL,South,Dallas County,0.315,0.116,0.414
93,AL,South,Dallas County,0.289,0.116,0.417
94,AL,South,DeKalb County,0.153,0.023,0.324
95,AL,South,DeKalb County,0.141,0.023,0.321
96,AL,South,Elmore County,0.144,0.066,0.306
